symptom,tea_name,course,source_row,raw_symptom,category,subtype,note
高血脂,清平茶,20袋,4,高血脂、高血糖、高血压、高尿酸,western_disease,disease_or_finding,direct medical label
高血糖,清平茶,20袋,4,高血脂、高血糖、高血压、高尿酸,western_disease,disease_or_finding,direct medical label
高血压,清平茶,20袋,4,高血脂、高血糖、高血压、高尿酸,western_disease,disease_or_finding,direct medical label
高尿酸,清平茶,20袋,4,高血脂、高血糖、高血压、高尿酸,western_disease,disease_or_finding,direct medical label
流感,橘红茶,10袋,5,"感冒、流感、咽炎、支气管炎、慢性支气管炎、
肺气肿、肺结节",western_disease,disease_or_finding,direct medical label
咽炎,橘红茶,10袋,5,"感冒、流感、咽炎、支气管炎、慢性支气管炎、
肺气肿、肺结节",western_disease,disease_or_finding,direct medical label
支气管炎,橘红茶,10袋,5,"感冒、流感、咽炎、支气管炎、慢性支气管炎、
肺气肿、肺结节",western_disease,disease_or_finding,direct medical label
慢性支气管炎,橘红茶,10袋,5,"感冒、流感、咽炎、支气管炎、慢性支气管炎、
肺气肿、肺结节",western_disease,disease_or_finding,direct medical label
肺气肿,橘红茶,10袋,5,"感冒、流感、咽炎、支气管炎、慢性支气管炎、
肺气肿、肺结节",western_disease,disease_or_finding,direct medical label
肺结节,橘红茶,10袋,5,"感冒、流感、咽炎、支气管炎、慢性支气管炎、
肺气肿、肺结节",western_disease,disease_or_finding,direct medical label
眼底血管病,甘平茶,20袋,6,"眼底血管病,糖尿病",western_disease,disease_or_finding,direct medical label
高血压,平澜茶,20袋,7,高血压,western_disease,disease_or_finding,direct medical label
高血脂,风清茶,20袋,8,高血脂,western_disease,disease_or_finding,direct medical label
痛风,茯清茶,20袋,9,痛风、肾结石、肾炎、肾功能不全,western_disease,disease_or_finding,direct medical label
肾结石,茯清茶,20袋,9,痛风、肾结石、肾炎、肾功能不全,western_disease,disease_or_finding,direct medical label
肾炎,茯清茶,20袋,9,痛风、肾结石、肾炎、肾功能不全,western_disease,disease_or_finding,direct medical label
肾功能不全,茯清茶,20袋,9,痛风、肾结石、肾炎、肾功能不全,western_disease,disease_or_finding,direct medical label
急慢性胃炎,香橼茶,10袋,10,"急慢性胃炎,胃溃疡,十二指肠球部溃疡,
肠化生,反流性食道炎,胃酸过多,急慢性肠炎,便秘",western_disease,disease_or_finding,direct medical label
十二指肠球部溃疡,香橼茶,10袋,10,"急慢性胃炎,胃溃疡,十二指肠球部溃疡,
肠化生,反流性食道炎,胃酸过多,急慢性肠炎,便秘",western_disease,disease_or_finding,direct medical label
肠化生,香橼茶,10袋,10,"急慢性胃炎,胃溃疡,十二指肠球部溃疡,
肠化生,反流性食道炎,胃酸过多,急慢性肠炎,便秘",western_disease,disease_or_finding,direct medical label
反流性食道炎,香橼茶,10袋,10,"急慢性胃炎,胃溃疡,十二指肠球部溃疡,
肠化生,反流性食道炎,胃酸过多,急慢性肠炎,便秘",western_disease,disease_or_finding,direct medical label
胃酸过多,香橼茶,10袋,10,"急慢性胃炎,胃溃疡,十二指肠球部溃疡,
肠化生,反流性食道炎,胃酸过多,急慢性肠炎,便秘",western_disease,disease_or_finding,direct medical label
急慢性肠炎,香橼茶,10袋,10,"急慢性胃炎,胃溃疡,十二指肠球部溃疡,
肠化生,反流性食道炎,胃酸过多,急慢性肠炎,便秘",western_disease,disease_or_finding,direct medical label
记忆力减退,舒安茶,20袋,12,"失眠、记忆力减退、注意力不集中、小
儿多动、自闭症、老年痴呆、帕金森、抑郁症,偏执型人格障碍",western_disease,disease_or_finding,direct medical label
注意力不集中,舒安茶,20袋,12,"失眠、记忆力减退、注意力不集中、小
儿多动、自闭症、老年痴呆、帕金森、抑郁症,偏执型人格障碍",western_disease,disease_or_finding,direct medical label
自闭症,舒安茶,20袋,12,"失眠、记忆力减退、注意力不集中、小
儿多动、自闭症、老年痴呆、帕金森、抑郁症,偏执型人格障碍",western_disease,disease_or_finding,direct medical label
老年痴呆,舒安茶,20袋,12,"失眠、记忆力减退、注意力不集中、小
儿多动、自闭症、老年痴呆、帕金森、抑郁症,偏执型人格障碍",western_disease,disease_or_finding,direct medical label
偏执型人格障碍,舒安茶,20袋,12,"失眠、记忆力减退、注意力不集中、小
儿多动、自闭症、老年痴呆、帕金森、抑郁症,偏执型人格障碍",western_disease,disease_or_finding,direct medical label
脂肪肝,石斛茶,10袋,13,"脂肪肝、肝炎、肝硬化,胆囊炎、胆结石;护肝利胆,
抗病毒,抗脂肪化,抗纤维化",western_disease,disease_or_finding,direct medical label
肝炎,石斛茶,10袋,13,"脂肪肝、肝炎、肝硬化,胆囊炎、胆结石;护肝利胆,
抗病毒,抗脂肪化,抗纤维化",western_disease,disease_or_finding,direct medical label
胆结石,石斛茶,10袋,13,"脂肪肝、肝炎、肝硬化,胆囊炎、胆结石;护肝利胆,
抗病毒,抗脂肪化,抗纤维化",western_disease,disease_or_finding,direct medical label
心肌炎,参灵茶,10袋,15,"心肌炎、心肌炎后遗症、冠心病、心脏亚健康、
气血不足",western_disease,disease_or_finding,direct medical label
心肌炎后遗症,参灵茶,10袋,15,"心肌炎、心肌炎后遗症、冠心病、心脏亚健康、
气血不足",western_disease,disease_or_finding,direct medical label
冠心病,参灵茶,10袋,15,"心肌炎、心肌炎后遗症、冠心病、心脏亚健康、
气血不足",western_disease,disease_or_finding,direct medical label
各类结节病,散云茶,20袋,16,"各类结节病,癌前病变,肠化生,子宫肌瘤,
卵巢囊肿,乳腺结节,慢性肠炎,甲状腺结节",western_disease,disease_or_finding,direct medical label
癌前病变,散云茶,20袋,16,"各类结节病,癌前病变,肠化生,子宫肌瘤,
卵巢囊肿,乳腺结节,慢性肠炎,甲状腺结节",western_disease,disease_or_finding,direct medical label
肠化生,散云茶,20袋,16,"各类结节病,癌前病变,肠化生,子宫肌瘤,
卵巢囊肿,乳腺结节,慢性肠炎,甲状腺结节",western_disease,disease_or_finding,direct medical label
子宫肌瘤,散云茶,20袋,16,"各类结节病,癌前病变,肠化生,子宫肌瘤,
卵巢囊肿,乳腺结节,慢性肠炎,甲状腺结节",western_disease,disease_or_finding,direct medical label
卵巢囊肿,散云茶,20袋,16,"各类结节病,癌前病变,肠化生,子宫肌瘤,
卵巢囊肿,乳腺结节,慢性肠炎,甲状腺结节",western_disease,disease_or_finding,direct medical label
乳腺结节,散云茶,20袋,16,"各类结节病,癌前病变,肠化生,子宫肌瘤,
卵巢囊肿,乳腺结节,慢性肠炎,甲状腺结节",western_disease,disease_or_finding,direct medical label
慢性肠炎,散云茶,20袋,16,"各类结节病,癌前病变,肠化生,子宫肌瘤,
卵巢囊肿,乳腺结节,慢性肠炎,甲状腺结节",western_disease,disease_or_finding,keyword hit
甲状腺结节,散云茶,20袋,16,"各类结节病,癌前病变,肠化生,子宫肌瘤,
卵巢囊肿,乳腺结节,慢性肠炎,甲状腺结节",western_disease,disease_or_finding,direct medical label
体重超标,清和茶,20袋,17,"体重超标,肥胖",western_disease,disease_or_finding,direct medical label
